Key,English
PROPSKILL_TXT_000309,
PROPSKILL_TXT_000000,Clean Hit
PROPSKILL_TXT_000001,"A powerful, downward strike."
PROPSKILL_TXT_000002,Flurry
PROPSKILL_TXT_000003,A rapid stabbing attack.
PROPSKILL_TXT_000004,Over Cutter
PROPSKILL_TXT_000005,A powerful upward finishing move.
PROPSKILL_TXT_000006,Slash
PROPSKILL_TXT_000007,Strikes the enemy twice in rapid succession.
PROPSKILL_TXT_000008,Keenwheel
PROPSKILL_TXT_000009,A continuous spinning attack.
PROPSKILL_TXT_000010,Blindside
PROPSKILL_TXT_000011,A spinning finishing move that may stun the enemy.
PROPSKILL_TXT_000012,Protection
PROPSKILL_TXT_000013,Draws out the wielded shield's power to increase defense against physical attacks and significantly increase Ranged Block.
PROPSKILL_TXT_000014,Pan Barrier
PROPSKILL_TXT_000015,Significantly increases Ranged Block.
PROPSKILL_TXT_000016,Blazing Sword
PROPSKILL_TXT_000017,Increases accuracy and enhances the power of the wielded sword.
PROPSKILL_TXT_000018,Smite Axe
PROPSKILL_TXT_000019,Increases accuracy and enhances the power of the wielded axe.
PROPSKILL_TXT_000020,Empower Weapon
PROPSKILL_TXT_000021,Enhances the weapon's elemental power.
PROPSKILL_TXT_000022,Bloody Strike
PROPSKILL_TXT_000024,Sword Mastery
PROPSKILL_TXT_000025,Enhances the power of the wielded sword.
PROPSKILL_TXT_000026,Axe Mastery
PROPSKILL_TXT_000027,Enhances the power of the wielded axe.
PROPSKILL_TXT_000028,Special Hit
PROPSKILL_TXT_000029,A single powerful strike that hits all enemies around you.
PROPSKILL_TXT_000030,Guillotine
PROPSKILL_TXT_000031,A powerful ranged attack.
PROPSKILL_TXT_000032,Sneaker
PROPSKILL_TXT_000033,"Traps the enemy in a net, immobilizing them."
PROPSKILL_TXT_000034,Reflex Hit
PROPSKILL_TXT_000035,Absorbs an incoming attack and strikes an enemy with the absorbed damage.
PROPSKILL_TXT_000036,Guard
PROPSKILL_TXT_000037,Reduces all incoming damage from enemies at the cost of attack power.
PROPSKILL_TXT_000038,Pain Reflection
PROPSKILL_TXT_000039,Reflects a portion of the damage received back at the enemy.
PROPSKILL_TXT_000040,Rage
PROPSKILL_TXT_000041,Increases striking power but makes you more vulnerable to all incoming attacks.
PROPSKILL_TXT_000042,Power Swing
PROPSKILL_TXT_000043,Swings the weapon to strike surrounding enemies and push them back. Requires a two-handed weapon.
PROPSKILL_TXT_000044,Earth Divider
PROPSKILL_TXT_000045,A powerful downward strike that may reduce HP Restoration on the target. Requires a two-handed weapon.
PROPSKILL_TXT_000046,Charge
PROPSKILL_TXT_000047,A powerful upward strike that stuns the enemy. Requires a two-handed weapon.
PROPSKILL_TXT_000048,Pain Dealer
PROPSKILL_TXT_000049,A powerful downward strike that lowers the defense of the target. Requires a two-handed weapon.
PROPSKILL_TXT_000050,Power Stomp
PROPSKILL_TXT_000051,"Pounds the ground, hitting surrounding enemies with a chance to stun them. Requires a two-handed weapon."
PROPSKILL_TXT_000052,Cross Strike
PROPSKILL_TXT_000053,A powerful dual-weapon strike that knocks down the enemy.
PROPSKILL_TXT_000054,Armor Penetrate
PROPSKILL_TXT_000055,Strikes the enemy and lowers their block rate.
PROPSKILL_TXT_000056,Silent Strike
PROPSKILL_TXT_000057,"Pounces on the enemy from afar, stunning them. Requires two weapons."
PROPSKILL_TXT_000058,Blade Dance
PROPSKILL_TXT_000059,Rapidly strikes surrounding enemies twice with both weapons. Requires two weapons.
PROPSKILL_TXT_000060,Spring Attack
PROPSKILL_TXT_000061,"Strikes the enemy multiple times, with each hit having a chance to deal double damage. Requires two weapons."
PROPSKILL_TXT_000062,Hawk Attack
PROPSKILL_TXT_000063,A powerful downward strike that lowers the accuracy of the target. Requires two weapons.
PROPSKILL_TXT_000064,Sonic Blade
