Key,English,Simplified_Chinese
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,著名草药师
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,草药采集精通排名的奖励。
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,著名伐木工
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,伐木精通排名的奖励。
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,著名矿工
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,采矿精通排名的奖励。
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,著名渔夫
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,钓鱼精通排名的奖励。
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,著名厨师
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,烹饪精通排名的奖励。
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,著名炼金术士
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,炼金术精通排名的奖励。
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,著名木匠
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,木工精通排名的奖励。
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,著名铁匠
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,锻造精通排名的奖励。
