Key,English,Traditional_Chinese
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,著名採集者
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,草藥採集熟練度排行榜獎勵。
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,著名伐木工
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,伐木熟練度排行榜獎勵。
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,著名礦工
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,採礦熟練度排行榜獎勵。
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,著名漁夫
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,釣魚熟練度排行榜獎勵。
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,著名廚師
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,烹飪熟練度排行榜獎勵。
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,著名煉金術士
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,煉金術熟練度排行榜獎勵。
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,著名木匠
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,木工熟練度排行榜獎勵。
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,著名鍛造師
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,鍛造熟練度排行榜獎勵。
